Rank,Name,City,Position,Points,Games,Minutes,Rebounds,Assists,Steal,Block
76,Shaedon Sharpe,Por,G,21.8,66,30.8,11.9,2.6,0.8,0.2
77,Anthony Davis,Dal,F-C,32,3,28.8,6.1,4,0.7,1.3
78,Jaden Ivey,Det,G,23.1,30,29.9,17.7,4,0.9,0.4
79,Andrew Wiggins,Gol,F,30.1,43,30.1,8.7,2.3,0.9,0.8
80,Bam Adebayo,Mia,C-F,27.7,71,34.5,13.5,4.3,1.3,0.7
81,Dejounte Murray,Nor,G,28.5,31,32.7,17.5,7.4,2,0.4
82,Immanuel Quickley,Tor,G,25.8,29,28.4,12.2,5.7,0.7,0.1
83,O.G. Anunoby,Nyk,F-G,27.7,66,36.6,8.8,2.2,1.5,0.9
84,Bradley Beal,Pho,G,31.7,48,32.2,12.7,3.6,1,0.5
85,Jimmy Butler,Gol,F,35.5,20,32.3,11.6,6.3,1.3,0.3
86,Jimmy Butler,Mia,F,35.5,25,30.6,10.2,4.8,1.1,0.4
87,Keyonte George,Uta,G,21.4,59,31.1,16.8,5.8,0.7,0.2
88,Devin Vassell,San,G-F,24.6,57,31.1,8.7,2.9,1.3,0.6
89,Derrick White,Bos,G,30.7,69,33.8,11.4,4.5,1,1
90,Ivica Zubac,Lac,C,28,70,32.6,12.4,2.5,0.7,1.2
91,Jonathan Kuminga,Gol,F,22.5,39,25.5,10.7,2.3,0.9,0.5
92,Jalen Suggs,Orl,G,23.8,35,28.6,17.5,3.7,1.5,0.9
93,Malik Beasley,Det,G,28.3,73,27.5,7.8,1.7,0.9,0.1
94,Jordan Clarkson,Uta,G,32.8,37,26,14.9,3.7,0.8,0.2
95,Paul George,Phi,F,34.9,41,32.5,15.7,4.3,1.8,0.5
96,Bennedict Mathurin,Ind,G-F,22.8,67,30.1,13.8,1.9,0.6,0.4
97,Deni Avdija,Por,F,24.2,68,29.6,19.1,3.8,0.9,0.5
98,Myles Turner,Ind,C-F,29,65,30.6,13.2,1.6,0.8,1.9
99,Jared McCain,Phi,G,21.1,23,25.7,11.9,2.6,0.7,0
100,Mark Williams,Cha,C,23.3,38,26,11.8,2.5,0.7,1.3
101,Kyle Kuzma,Was,F,29.7,32,27.7,13.8,2.5,0.6,0.2
102,Christian Braun,Den,G,23.9,72,33.5,9,2.5,1.1,0.5
103,Caris LeVert,Atl,G,30.6,18,27.3,6.1,2.8,0.9,0.5
104,Kelly Oubre Jr.,Phi,F-G,29.3,60,34.6,9.7,1.8,1.5,0.5
105,Chet Holmgren,Okc,C-F,22.9,26,27.2,14.4,1.8,0.8,2.3
106,P.J. Washington,Dal,F,26.6,51,32.4,14.6,2.3,1.2,1.1
107,Naz Reid,Min,C-F,25.6,72,27.9,10.2,2.3,0.8,0.9
108,Gradey Dick,Tor,G-F,21.4,54,29.4,11.4,1.8,0.9,0.2
109,Deandre Ayton,Por,C,26.7,40,30.1,12.8,1.6,0.8,1
110,Fred VanVleet,Hou,G,31.1,55,35.3,10.2,5.5,1.6,0.4
111,Jakob Poeltl,Tor,C,29.5,54,29.7,16,2.8,1.2,1.2
112,Jerami Grant,Por,F,31,47,32.4,10.2,2.1,0.9,1
113,Josh Giddey,Chi,G,22.5,64,30,19.9,7,1.2,0.6
114,Stephon Castle,San,G,20.4,71,26,14.7,3.7,1,0.3
115,Payton Pritchard,Bos,G,27.2,72,28.3,8.3,3.4,0.9,0.2
116,Klay Thompson,Dal,G,35.1,65,27.6,9.5,2.1,0.7,0.4
117,Tre Mann,Cha,G,24.1,13,24.5,13.4,3,0.5,0.3
118,Aaron Gordon,Den,F,29.5,44,27.4,12.7,3,0.5,0.2
119,Amen Thompson,Hou,G-F,22.2,63,32.5,16.9,3.6,1.4,1.3
120,De'Andre Hunter,Cle,F-G,27.3,20,25,7.1,1.2,0.5,0.3
121,Dyson Daniels,Atl,G,22,68,33.9,13.9,4.3,3.1,0.7
122,Dillon Brooks,Hou,G-F,29.2,70,32.3,8.1,1.8,0.8,0.2
123,Kyle Kuzma,Mil,F,29.7,23,33.3,15,2.2,0.4,0.3
124,Josh Hart,Nyk,G,30.1,69,37.6,16.9,5.8,1.5,0.4
125,Tobias Harris,Det,F,32.7,69,32.1,8.9,2.2,1,0.8
126,Jarrett Allen,Cle,C,26.9,73,28.6,13,1.9,1,0.9
127,D'Angelo Russell,Bro,G,29.1,26,25.2,15.1,5.7,1.1,0.7
128,Bobby Portis,Mil,F,30.1,47,24.7,9.1,2.2,0.7,0.5
129,Naji Marshall,Dal,F,27.2,61,27.3,13.2,2.9,1.1,0.1
130,Kevin Huerter,Chi,G-F,26.6,19,29.9,9,2.9,1.4,0.3
131,Alexandre Sarr,Was,C,19.9,58,27.1,11.6,2.3,0.7,1.5
132,Onyeka Okongwu,Atl,F-C,24.3,66,27.2,10.8,2.2,0.9,0.9
133,Russell Westbrook,Den,G,36.4,67,28.1,22.7,6.2,1.4,0.5
134,Rui Hachimura,Lal,F,27.1,53,31.6,8.2,1.5,0.8,0.5
135,Brook Lopez,Mil,C,37,71,32,9.5,1.7,0.7,1.9
